[*] 25/04/2026 12:06:30 - Starting HardeningKitty
[*] 25/04/2026 12:06:30 - Getting machine information
[*] Hostname: WIN-1C36PIUNOJK
[*] Domain: WORKGROUP
[*] Domain role: StandaloneServer
[*] Install date: 04/16/2026 14:48:06
[*] Last Boot Time: 04/25/2026 09:53:35
[*] Uptime: 02:12:55.0286583
[*] Windows: Microsoft Windows Server 2019 Standard
[*] Windows edition: ServerStandard
[*] Windows version: 1809
[*] Windows build: 17763.1.amd64fre.rs5_release.180914-1434
[*] System-locale: fr-FR
[*] Powershell Version: 5.1
[*] 25/04/2026 12:06:35 - Language warning
[?] 25/04/2026 12:06:35 - HardeningKitty was developed for the system language 'en-US'. This system uses 'fr-FR' Language-dependent analyses can sometimes produce false results. Please create an issue if this occurs.
[*] 25/04/2026 12:06:35 - Getting user information
[*] Username: WIN-1C36PIUNOJK\ansible
[*] Is Admin: True
[*] 25/04/2026 12:06:35 - Starting Category Account Policies
ID 1.1.1, Length of password history maintained, 24, Account policy set
ID 2.2.27, SeEnableDelegationPrivilege, BUILTIN\Administrators, Configured system user right assignment
ID 2.2.28, SeEnableDelegationPrivilege, , Configured system user right assignment
ID 2.2.29, SeRemoteShutdownPrivilege, BUILTIN\Administrators, Configured system user right assignment
ID 2.2.30, SeAuditPrivilege, NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE, Configured system user right assignment
ID 2.2.31, SeImpersonatePrivilege, NT AUTHORITY\SERVICE;BUILTIN\Administrators;NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE, Configured system user right assignment
ID 2.2.32, SeImpersonatePrivilege, NT AUTHORITY\SERVICE;BUILTIN\Administrators;NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE, Configured system user right assignment
ID 2.2.33, SeIncreaseBasePriorityPrivilege, Window Manager\Window Manager Group;BUILTIN\Administrators, Configured system user right assignment
ID 2.2.34, SeLoadDriverPrivilege, BUILTIN\Administrators, Configured system user right assignment
ID 2.2.35, SeLockMemoryPrivilege, , Configured system user right assignment
ID 2.2.36, SeBatchLogonRight, BUILTIN\Administrators, Configured system user right assignment
ID 2.2.37.1, SeSecurityPrivilege, BUILTIN\Administrators, Configured system user right assignment
ID 2.2.37.2, SeSecurityPrivilege, NT AUTHORITY\EXCHANGE SERVERS;BUILTIN\Administrators, Failed to configure system user right assignment
ID 2.2.38, SeSecurityPrivilege, BUILTIN\Administrators, Configured system user right assignment
ID 2.2.39, SeReLabelPrivilege, , Configured system user right assignment
ID 2.2.40, SeSystemEnvironmentPrivilege, BUILTIN\Administrators, Configured system user right assignment
ID 2.2.41, SeManageVolumePrivilege, BUILTIN\Administrators, Configured system user right assignment
ID 2.2.42, SeProfileSingleProcessPrivilege, BUILTIN\Administrators, Configured system user right assignment
ID 2.2.43, SeSystemProfilePrivilege, NT SERVICE\WdiServiceHost;BUILTIN\Administrators, Configured system user right assignment
ID 2.2.44, SeAssignPrimaryTokenPrivilege, NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE, Configured system user right assignment
ID 2.2.45, SeRestorePrivilege, BUILTIN\Administrators, Configured system user right assignment
ID 2.2.46, SeShutdownPrivilege, BUILTIN\Administrators, Configured system user right assignment
ID 2.2.47, SeSyncAgentPrivilege, , Configured system user right assignment
ID 2.2.48, SeTakeOwnershipPrivilege, BUILTIN\Administrators, Configured system user right assignment
[*] 25/04/2026 12:07:00 - Starting Category Security Options
ID 2.3.1.2, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System, NoConnectedUser, Registry value created/modified
ID 2.3.1.4, HKLM:\System\CurrentControlSet\Control\Lsa, LimitBlankPasswordUse, Registry value created/modified
ID 2.3.2.1, HKLM:\System\CurrentControlSet\Control\Lsa, SCENoApplyLegacyAuditPolicy, Registry value created/modified
ID 2.3.2.2, HKLM:\SYSTEM\CurrentControlSet\Control\Lsa, CrashOnAuditFail, Registry value created/modified
ID 2.3.4.1, HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon, AllocateDASD, Registry value created/modified
ID 2.3.4.2, HKLM:\SYSTEM\CurrentControlSet\Control\Print\Providers\LanMan Print Services\Servers, AddPrinterDrivers, Registry value created/modified
ID 2.3.5.1, HKLM:\SYSTEM\CurrentControlSet\Control\Lsa, SubmitControl, Registry value created/modified
ID 2.3.5.2, HKLM:\System\CurrentControlSet\Services\NTDS\Parameters, LDAPServerIntegrity, Registry key created
ID 2.3.5.2, HKLM:\System\CurrentControlSet\Services\NTDS\Parameters, LDAPServerIntegrity, Registry value created/modified
ID 2.3.5.3, HKLM:\SYSTEM\CurrentControlSet\Services\Netlogon\Parameters, RefusePasswordChange, Registry value created/modified
ID 2.3.6.1, HKLM:\System\CurrentControlSet\Services\Netlogon\Parameters, RequireSignOrSeal, Registry value created/modified
ID 2.3.6.2, HKLM:\System\CurrentControlSet\Services\Netlogon\Parameters, SealSecureChannel, Registry value created/modified
ID 2.3.6.3, HKLM:\System\CurrentControlSet\Services\Netlogon\Parameters, SignSecureChannel, Registry value created/modified
ID 2.3.6.4, HKLM:\System\CurrentControlSet\Services\Netlogon\Parameters, DisablePasswordChange, Registry value created/modified
ID 2.3.6.5, HKLM:\System\CurrentControlSet\Services\Netlogon\Parameters, MaximumPasswordAge, Registry value created/modified
ID 2.3.6.6, HKLM:\System\CurrentControlSet\Services\Netlogon\Parameters, RequireStrongKey, Registry value created/modified
ID 2.3.7.1, HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System, DisableCAD, Registry value created/modified
ID 2.3.7.2, HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System, DontDisplayLastUserName, Registry value created/modified
ID 2.3.7.3, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System, InactivityTimeoutSecs, Registry value created/modified
ID 2.3.7.4, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System, LegalNoticeText, Registry value created/modified
ID 2.3.7.5, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System, LegalNoticeCaption, Registry value created/modified
ID 2.3.7.6, HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon, CachedLogonsCount, Registry value created/modified
ID 2.3.7.7.1, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System, PasswordExpiryWarning, Registry value created/modified
ID 2.3.7.7.2, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System, PasswordExpiryWarning, Registry value created/modified
ID 2.3.7.8, HKLM:\Software\Microsoft\Windows NT\CurrentVersion\Winlogon, ForceUnlockLogon, Registry value created/modified
ID 2.3.7.9, HKLM:\Software\Microsoft\Windows NT\CurrentVersion\Winlogon, ScRemoveOption, Registry value created/modified
ID 2.3.8.1, HKLM:\System\CurrentControlSet\Services\LanmanWorkstation\Parameters, RequireSecuritySignature, Registry value created/modified
ID 2.3.8.2, HKLM:\System\CurrentControlSet\Services\LanmanWorkstation\Parameters, EnableSecuritySignature, Registry value created/modified
ID 2.3.8.3, HKLM:\System\CurrentControlSet\Services\LanmanWorkstation\Parameters, EnablePlainTextPassword, Registry value created/modified
ID 2.3.9.1, HKLM:\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters, AutoDisconnect, Registry value created/modified
ID 2.3.9.2, HKLM:\System\CurrentControlSet\Services\LanManServer\Parameters, RequireSecuritySignature, Registry value created/modified
ID 2.3.9.3, HKLM:\System\CurrentControlSet\Services\LanManServer\Parameters, EnableSecuritySignature, Registry value created/modified
ID 2.3.9.4, HKLM:\System\CurrentControlSet\Services\LanManServer\Parameters, enableforcedlogoff, Registry value created/modified
ID 2.3.9.5, HKLM:\System\CurrentControlSet\Services\LanManServer\Parameters, SMBServerNameHardeningLevel, Registry value created/modified
ID 2.3.10.1, System Access\LSAAnonymousNameLookup, 0, Failed to configure security policy
ID 2.3.10.2, HKLM:\System\CurrentControlSet\Control\Lsa, RestrictAnonymousSAM, Registry value created/modified
ID 2.3.10.3, HKLM:\System\CurrentControlSet\Control\Lsa, RestrictAnonymous, Registry value created/modified
ID 2.3.10.4, HKLM:\System\CurrentControlSet\Control\Lsa, DisableDomainCreds, Registry value created/modified
ID 2.3.10.5, HKLM:\System\CurrentControlSet\Control\Lsa, EveryoneIncludesAnonymous, Registry value created/modified
ID 2.3.10.6, HKLM:\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters, NullSessionPipes, Registry value created/modified
ID 2.3.10.7, HKLM:\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters, NullSessionPipes, Registry value created/modified
ID 2.3.10.8, HKLM:\SYSTEM\CurrentControlSet\Control\SecurePipeServers\Winreg\AllowedExactPaths, Machine, Registry value created/modified
ID 2.3.10.9, HKLM:\SYSTEM\CurrentControlSet\Control\SecurePipeServers\Winreg\AllowedPaths, Machine, Registry value created/modified
ID 2.3.10.10, HKLM:\System\CurrentControlSet\Services\LanManServer\Parameters, RestrictNullSessAccess, Registry value created/modified
ID 2.3.10.11, HKLM:\System\CurrentControlSet\Control\Lsa, RestrictRemoteSAM, Registry value created/modified
ID 2.3.10.12, HKLM:\System\CurrentControlSet\Services\LanManServer\Parameters, NullSessionShares, Registry value created/modified
ID 2.3.10.13, HKLM:\System\CurrentControlSet\Control\Lsa, ForceGuest, Registry value created/modified
ID 2.3.11.1, HKLM:\System\CurrentControlSet\Control\Lsa, UseMachineId, Registry value created/modified
ID 2.3.11.2, HKLM:\System\CurrentControlSet\Control\Lsa\MSV1_0, allownullsessionfallback, Registry value created/modified
ID 2.3.11.3, HKLM:\System\CurrentControlSet\Control\Lsa\pku2u, AllowOnlineID, Registry key created
ID 2.3.11.3, HKLM:\System\CurrentControlSet\Control\Lsa\pku2u, AllowOnlineID, Registry value created/modified
ID 2.3.11.4, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\Kerberos\Parameters, SupportedEncryptionTypes, Registry key created
ID 2.3.11.4, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\Kerberos\Parameters, SupportedEncryptionTypes, Registry value created/modified
ID 2.3.11.5, HKLM:\System\CurrentControlSet\Control\Lsa, NoLMHash, Registry value created/modified
ID 2.3.11.6, System Access\ForceLogoffWhenHourExpire, 1, Failed to configure security policy
ID 2.3.11.7, HKLM:\System\CurrentControlSet\Control\Lsa, LmCompatibilityLevel, Registry value created/modified
ID 2.3.11.8, HKLM:\System\CurrentControlSet\Services\LDAP, LDAPClientIntegrity, Registry value created/modified
ID 2.3.11.9, HKLM:\System\CurrentControlSet\Control\Lsa\MSV1_0, NTLMMinClientSec, Registry value created/modified
ID 2.3.11.10, HKLM:\System\CurrentControlSet\Control\Lsa\MSV1_0, NTLMMinServerSec, Registry value created/modified
ID 2.3.13.1, HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System, ShutdownWithoutLogon, Registry value created/modified
ID 2.3.15.1, HKLM:\SYSTEM\CurrentControlSet\Control\Session Manager\Kernel, ObCaseInsensitive, Registry value created/modified
ID 2.3.15.2, HKLM:\System\CurrentControlSet\Control\Session Manager, ProtectionMode, Registry value created/modified
ID 2.3.17.1, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System, FilterAdministratorToken, Registry value created/modified
ID 2.3.17.2, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System, ConsentPromptBehaviorAdmin, Registry value created/modified
ID 2.3.17.3, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System, ConsentPromptBehaviorUser, Registry value created/modified
ID 2.3.17.4, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System, EnableInstallerDetection, Registry value created/modified
ID 2.3.17.5, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System, EnableSecureUIAPaths, Registry value created/modified
ID 2.3.17.6, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System, EnableLUA, Registry value created/modified
ID 2.3.17.7, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System, PromptOnSecureDesktop, Registry value created/modified
ID 2.3.17.8, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System, EnableVirtualization, Registry value created/modified
[*] 25/04/2026 12:07:06 - Starting Category Windows Firewall
ID 9.1.1, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile, EnableFirewall, Registry key created
ID 9.1.1, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile, EnableFirewall, Registry value created/modified
ID 9.1.2, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile, DefaultInboundAction, Registry value created/modified
ID 9.1.3, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile, DefaultOutboundAction, Registry value created/modified
ID 9.1.4, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile, DisableNotifications, Registry value created/modified
ID 9.1.5, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging, LogFilePath, Registry key created
ID 9.1.5, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging, LogFilePath, Registry value created/modified
ID 9.1.6, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging, LogFileSize, Registry value created/modified
ID 9.1.7, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging, LogDroppedPackets, Registry value created/modified
ID 9.1.8, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging, LogSuccessfulConnections, Registry value created/modified
ID 9.2.1, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile, EnableFirewall, Registry key created
ID 9.2.1, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile, EnableFirewall, Registry value created/modified
ID 9.2.2, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile, DefaultInboundAction, Registry value created/modified
ID 9.2.3, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile, DefaultOutboundAction, Registry value created/modified
ID 9.2.4, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile, DisableNotifications, Registry value created/modified
ID 9.2.5, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging, LogFilePath, Registry key created
ID 9.2.5, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging, LogFilePath, Registry value created/modified
ID 9.2.6, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging, LogFileSize, Registry value created/modified
ID 9.2.7, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging, LogDroppedPackets, Registry value created/modified
ID 9.2.8, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging, LogSuccessfulConnections, Registry value created/modified
ID 9.3.1, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile, EnableFirewall, Registry key created
ID 9.3.1, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile, EnableFirewall, Registry value created/modified
ID 9.3.2, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile, DefaultInboundAction, Registry value created/modified
ID 9.3.3, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile, DefaultOutboundAction, Registry value created/modified
ID 9.3.4, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile, DisableNotifications, Registry value created/modified
ID 9.3.5, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile, AllowLocalPolicyMerge, Registry value created/modified
ID 9.3.6, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile, AllowLocalIPsecPolicyMerge, Registry value created/modified
ID 9.3.7, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging, LogFilePath, Registry key created
ID 9.3.7, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging, LogFilePath, Registry value created/modified
ID 9.3.8, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging, LogFileSize, Registry value created/modified
ID 9.3.9, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging, LogDroppedPackets, Registry value created/modified
ID 9.3.10, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging, LogSuccessfulConnections, Registry value created/modified
[*] 25/04/2026 12:07:07 - Starting Category Advanced Audit Policy Configuration
ID 17.1.1, Credential Validation, Success and Failure, Audit policy set
ID 17.1.2, Kerberos Authentication Service, Success and Failure, Audit policy set
ID 17.1.3, Kerberos Service Ticket Operations, Success and Failure, Audit policy set
ID 17.2.1, Application Group Management, Success and Failure, Audit policy set
ID 17.2.2, Computer Account Management, Success, Audit policy set
ID 17.2.3, Distribution Group Management, Success, Audit policy set
ID 17.2.4, Other Account Management Events, Success, Audit policy set
ID 17.2.5, Security Group Management, Success, Audit policy set
ID 17.2.6, User Account Management, Success and Failure, Audit policy set
ID 17.3.1, Plug and Play Events, Success, Audit policy set
ID 17.3.2, Process Creation, Success, Audit policy set
ID 17.4.1, Directory Service Access, Failure, Audit policy set
ID 17.4.2, Directory Service Changes, Success, Audit policy set
ID 17.5.1, Account Lockout, Failure, Audit policy set
ID 17.5.2, Group Membership, Success, Audit policy set
ID 17.5.3, Logoff, Success, Audit policy set
ID 17.5.4, Logon, Success and Failure, Audit policy set
ID 17.5.5, Other Logon/Logoff Events, Success and Failure, Audit policy set
ID 17.5.6, Special Logon, Success, Audit policy set
ID 17.6.1, Detailed File Share, Failure, Audit policy set
ID 17.6.2, File Share, Success and Failure, Audit policy set
ID 17.6.3, Other Object Access Events, Success and Failure, Audit policy set
ID 17.6.4, Removable Storage, Success and Failure, Audit policy set
ID 17.7.1, Audit Policy Change, Success, Audit policy set
ID 17.7.2, Authentication Policy Change, Success, Audit policy set
ID 17.7.3, Authorization Policy Change, Success, Audit policy set
ID 17.7.4, MPSSVC Rule-Level Policy Change, Success and Failure, Audit policy set
ID 17.7.5, Other Policy Change Events, Failure, Audit policy set
ID 17.8.1, Sensitive Privilege Use, Success and Failure, Audit policy set
ID 17.9.1, IPsec Driver, Success and Failure, Audit policy set
ID 17.9.2, Other System Events, Success and Failure, Audit policy set
ID 17.9.3, Security State Change, Success, Audit policy set
ID 17.9.4, Security System Extension, Success, Audit policy set
ID 17.9.5, System Integrity, Success and Failure, Audit policy set
[*] 25/04/2026 12:07:08 - Starting Category Administrative Templates: Control Panel
ID 18.1.1.1, HKLM:\Software\Policies\Microsoft\Windows\Personalization, NoLockScreenCamera, Registry key created
ID 18.1.1.1, HKLM:\Software\Policies\Microsoft\Windows\Personalization, NoLockScreenCamera, Registry value created/modified
ID 18.1.1.2, HKLM:\Software\Policies\Microsoft\Windows\Personalization, NoLockScreenSlideshow, Registry value created/modified
ID 18.1.2.2, HKLM:\SOFTWARE\Policies\Microsoft\InputPersonalization, AllowInputPersonalization, Registry key created
ID 18.1.2.2, HKLM:\SOFTWARE\Policies\Microsoft\InputPersonalization, AllowInputPersonalization, Registry value created/modified
ID 18.1.3, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer, AllowOnlineTips, Registry value created/modified
[*] 25/04/2026 12:07:08 - Starting Category Administrative Templates: LAPS
ID 18.2.1, HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\GPExtensions\{D76B9641-3288-4f75-942D-087DE603E3EA}, DllName, Registry key created
ID 18.2.1, HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\GPExtensions\{D76B9641-3288-4f75-942D-087DE603E3EA}, DllName, Registry value created/modified
ID 18.2.2, HKLM:\SOFTWARE\Policies\Microsoft Services\AdmPwd, PwdExpirationProtectionEnabled, Registry key created
ID 18.2.2, HKLM:\SOFTWARE\Policies\Microsoft Services\AdmPwd, PwdExpirationProtectionEnabled, Registry value created/modified
ID 18.2.3, HKLM:\Software\Policies\Microsoft Services\AdmPwd, AdmPwdEnabled, Registry value created/modified
ID 18.2.4, HKLM:\SOFTWARE\Policies\Microsoft Services\AdmPwd, PasswordComplexity, Registry value created/modified
ID 18.2.5, HKLM:\SOFTWARE\Policies\Microsoft Services\AdmPwd, PasswordLength, Registry value created/modified
ID 18.2.6, HKLM:\SOFTWARE\Policies\Microsoft Services\AdmPwd, PasswordAgeDays, Registry value created/modified
[*] 25/04/2026 12:07:08 - Starting Category MS Security Guide
ID 18.3.1, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System, LocalAccountTokenFilterPolicy, Registry value created/modified
ID 18.3.2, HKLM:\SYSTEM\CurrentControlSet\Services\MrxSmb10, Start, Registry key created
ID 18.3.2, HKLM:\SYSTEM\CurrentControlSet\Services\MrxSmb10, Start, Registry value created/modified
ID 18.3.3, HKLM:\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters, SMB1, Registry value created/modified
ID 18.3.4, HKLM:\SYSTEM\CurrentControlSet\Control\Session Manager\kernel, DisableExceptionChainValidation, Registry value created/modified
ID 18.3.5, HKLM:\SYSTEM\CurrentControlSet\Services\NTDS\Parameters, LdapEnforceChannelBinding, Registry value created/modified
ID 18.3.6, HKLM:\SYSTEM\CurrentControlSet\Services\NetBT\Parameters, NodeType, Registry value created/modified
ID 18.3.7, HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\WDigest, UseLogonCredential, Registry value created/modified
[*] 25/04/2026 12:07:08 - Starting Category MSS (Legacy)
ID 18.4.1, HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon, AutoAdminLogon, Registry value created/modified
ID 18.4.2, HKLM:\System\CurrentControlSet\Services\Tcpip6\Parameters, DisableIPSourceRouting, Registry value created/modified
ID 18.4.3, HKLM:\System\CurrentControlSet\Services\Tcpip\Parameters, DisableIPSourceRouting, Registry value created/modified
ID 18.4.4, HKLM:\System\CurrentControlSet\Services\Tcpip\Parameters, EnableICMPRedirect, Registry value created/modified
ID 18.4.5, HKLM:\SYSTEM\CurrentControlSet\Services\Tcpip\Parameters, KeepAliveTime, Registry value created/modified
ID 18.4.6, HKLM:\System\CurrentControlSet\Services\Netbt\Parameters, NoNameReleaseOnDemand, Registry value created/modified
ID 18.4.7, HKLM:\SYSTEM\CurrentControlSet\Services\Tcpip\Parameters, PerformRouterDiscovery, Registry value created/modified
ID 18.4.8, HKLM:\SYSTEM\CurrentControlSet\Control\Session Manager, SafeDLLSearchMode, Registry value created/modified
ID 18.4.9, HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon, ScreenSaverGracePeriod, Registry value created/modified
ID 18.4.10, HKLM:\System\CurrentControlSet\Services\Tcpip6\Parameters, TcpMaxDataRetransmissions, Registry value created/modified
ID 18.4.11, HKLM:\System\CurrentControlSet\Services\Tcpip\Parameters, TcpMaxDataRetransmissions, Registry value created/modified
